"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1COFM0077","HILLSIDE 5 NE, CO US","38.2955","-105.5208","2379.6","2018-07",,,,
"USC00425654","MILFORD, UT US","38.40168","-113.01624","1526.7","2018-07",,,,
"USR0000CDRY","DRY LAKE COLORADO, CO US","40.535","-106.7808","2535.9","2018-07","27.2",",,,U","12.8",",,,U"
"USC00020159","ALPINE, AZ US","33.8492","-109.1469","2453.6","2018-07","26.1",",,,7","9.5",",,,7"
"USC00059275","YELLOW JACKET 2 W, CO US","37.5217","-108.75511","2113.2","2018-07","34.3",",,,7","8.1",",,,7"
"USC00023668","GREEN VALLEY, AZ US","31.893","-110.9977","883.9","2018-07","36.9","2,,,7","23.0","2,,,7"
"US1COMZ0034","CORTEZ 1.2 SW, CO US","37.3398","-108.5938","1879.1","2018-07",,,,
"USC00021001","BRIGHT ANGEL RANGER STATION, AZ US","36.2147","-112.0619","2438.4","2018-07","26.7",",,,7","12.7",",,,7"
"USS0010J52S","TRIAL LAKE, UT US","40.68","-110.95","3045.6","2018-07","23.0",",,,T","8.4","1,,,T"
"USS0005J04S","PHANTOM VALLEY, CO US","40.4","-105.85","2752.3","2018-07","23.9",",,,T","6.1",",,,T"
"US1NMBR0061","ALBUQUERQUE 1.8 NNW, NM US","35.1396","-106.6397","1517.0","2018-07",,,,
"USS0007M16S","UPPER RIO GRANDE, CO US","37.72","-107.26","2865.1","2018-07","25.1",",,,T","6.6",",,,T"
"USC00291480","CARLSBAD CAVERNS, NM US","32.1783","-104.4433","1351.8","2018-07",,,,
"USS0006L03S","PORPHYRY CREEK, CO US","38.49","-106.34","3279.6","2018-07",,,,
"USR0000JENS","JENSEN SPRING BERYL 12 NNE, UT US","38.0333","-113.5167","1750.8","2018-07","35.5",",,,U","17.2",",,,U"
"US1COOT0029","ROCKY FORD 2.9 ESE, CO US","38.0296","-103.6751","1267.1","2018-07",,,,
"USC00058756","WALDEN, CO US","40.7442","-106.2792","2455.5","2018-07","26.0",",,,7","3.3",",,,7"
"US1NMBR0072","SOUTH VALLEY 3.8 SSW, NM US","34.9619","-106.7084","1495.0","2018-07",,,,
"US1COOT0023","SWINK 0.1 WNW, CO US","38.0143","-103.6286","1260.0","2018-07",,,,
"US1COOT0025","LA JUNTA 1.0 S, CO US","37.9663","-103.5443","1281.7","2018-07",,,,
"USS0011M01S","SUNFLOWER FLAT, UT US","38.05","-111.34","3034.9","2018-07","21.9",",,,T","11.4",",,,T"
"USR0000AGLO","GLOBE ARIZONA, AZ US","33.3503","-110.6519","1112.5","2018-07","34.7",",,,U","22.0",",,,U"
"USR0000CMRF","MOREFIELD COLORADO, CO US","37.3006","-108.4133","2383.5","2018-07","28.8",",,,U","15.6",",,,U"
